Date,ID,Module/Feature,Vulnerability Title,Description,OWASP Top 10 (2021),CWE,Attack Vector,Severity,Priority,Preconditions,Steps to Reproduce / PoC,Expected (Secure) Behavior,Actual Behavior,Impact,Remediation,Evidence (file:line),Status,Dev. Notes,Tester Status,Tetster Notes
2026-08-05,CWEB-01,Auth - Account enumeration,The unauthenticated verify-user endpoint is an account existence oracle callable for any email or mobile,verifyUser at src/services/auth.ts:17-28 posts to /verify-user with a caller supplied type of email or mobile and a value - and the endpoint requires no authentication. checkEmailExists and checkPhoneExists at src/helpers/auth.ts:396-478 call it from the registration form and the complete-profile modal on every field blur so the request shape is trivially observable and repeatable. The response distinguishes a registered identifier from an unregistered one: a hit returns success true and the caller marks the field as taken at :412 and :455 while a miss surfaces as an error the service converts into a success false fallback. Nothing in the client rate limits or debounces the probe beyond the field blur. Combined with code review issue 13 the probed value also travels in the URL query string so every probe is recorded in access and proxy logs.,A07 Identification and Authentication Failures,CWE-204 Observable Response Discrepancy,Any unauthenticated visitor - no account or token required,Medium,P3,None - the endpoint is reachable without authentication.,1. POST /api/verify-user with type email and a known registered address and read the response. 2. Repeat with an address that is not registered. 3. Compare the two responses - they differ deterministically. 4. Script the request across a list of addresses or mobile numbers.,Existence checks are rate limited and return a uniform response so a registered identifier cannot be distinguished from an unregistered one by an unauthenticated caller.,The two cases are distinguishable and the probe can be repeated without limit.,An attacker can confirm which email addresses and mobile numbers hold accounts on the platform - which turns a generic credential-stuffing or phishing list into a targeted one and leaks customer membership. Mobile enumeration is the more sensitive half because the number is also the OTP delivery channel.,Rate limit /verify-user per IP and per identifier on the panel and return a uniform response regardless of existence - moving the real check into the registration submission where it is already enforced. If the inline availability hint is worth keeping require a CAPTCHA or a signed token for it. Panel change - coordinate rather than changing the contract unilaterally.,src/services/auth.ts:17-28 ; src/helpers/auth.ts:396-436 :439-478,,,,
,CWEB-02,Auth - OTP abuse surface,The OTP resend control has no cooldown so codes can be requested as fast as the requests complete,The resend buttons in both OTP flows are gated only by the in-flight loading flag - src/features/auth/components/LoginForm.tsx:214-221 binds isLoading to otp.isResending and ForgotPasswordForm.tsx:149-156 does the same with forgot.isResending. Neither carries a countdown - a disabled window - or an attempt counter so the control re-enables the instant the previous request resolves and can be pressed again immediately. The handlers behind them do not throttle either: handleResendOtp at src/helpers/auth.ts:332-393 clears and re-initialises the reCAPTCHA verifier and sends again with no timing check - and the custom gateway path calls sendForgotOtp at src/features/auth/useForgotPassword.ts:97 with no guard. For the Firebase phone path Firebase applies its own quotas but the custom SMS gateway path is limited only by whatever the panel enforces.,A07 Identification and Authentication Failures,CWE-770 Allocation of Resources Without Limits or Throttling,Any visitor who can reach the OTP step - which needs only a phone number or an account identifier,Medium,P3,The OTP step of either the login or the forgot-password flow.,1. Enter an identifier and reach the OTP step. 2. Press resend and wait for the request to resolve. 3. Press resend again immediately and repeat - observe there is no cooldown and no attempt cap.,A resend cooldown of some tens of seconds and a cap on resends per identifier per window - enforced on the client for usability and on the panel for security.,The control re-enables immediately and resends without limit.,SMS cost abuse against the platform's gateway and SMS flooding of a chosen number - both driven from an unauthenticated flow. Repeated resends also invalidate and reissue codes which can be used to grief a legitimate customer mid-login.,Add a countdown to both resend controls that disables the button for a fixed window and caps resends per identifier - and confirm the panel throttles the send endpoints independently since a client cooldown is a usability control and not a security boundary.,src/features/auth/components/LoginForm.tsx:214-221 ; ForgotPasswordForm.tsx:149-156 ; src/helpers/auth.ts:332-393 ; src/features/auth/useForgotPassword.ts:87-113,,,,
,CWEB-03,Cart - Offline cart lifecycle,The offline cart survives logout and is merged into the next account that signs in on the device,The offlineCart slice is persisted - it is in the redux-persist whitelist at src/lib/redux/store.ts:15 - so it is written to localStorage and survives a browser restart. clearOfflineCart is dispatched from exactly one place: syncOfflineCartToServer at src/helpers/updators.ts:110 and only on the success branch. handleLogout at src/helpers/auth.ts:656-684 clears the auth and cart and recentlyViewed slices and never clears offlineCart. So whenever the slice is non-empty at sign out it stays on the device - which is the normal outcome when a guest added items and never signed in - and also when a previous sync failed since the failure branch at :135-149 returns without clearing. Every login path then calls syncOfflineCartToServer before anything else - google at src/helpers/auth.ts:120 - apple at :225 - password at :608 and phone OTP at :771 - so the leftover items are posted into the NEW account server cart the moment the next person signs in on that device.,A01 Broken Access Control,CWE-1188 Insecure Default Initialization of Resource,Local access to a shared device - a family or office or public machine where one person signs out and another signs in,Medium,P3,A non-empty offline cart at sign out - a guest session that added items or a sync that previously failed.,1. As a guest add items to the cart on a shared device so the offline cart is populated. 2. Sign in as user A and then sign out - or leave the guest session and let a second person use the browser. 3. Sign in as user B on the same device. 4. Read user B server cart.,The offline cart is scoped to the browsing session that created it and is discarded at sign out so it can never cross accounts.,The leftover items are silently merged into whichever account signs in next.,User B account receives products user A chose which discloses what A was shopping for and can be bought by accident at checkout. It also corrupts B cart totals without any action by B. The merge is silent - there is no prompt and no notice.,Dispatch clearOfflineCart from handleLogout alongside the existing slice clears - and clear it on the sync failure branch too so a failed sync cannot leave items behind for the next account. If carrying a guest cart across a sign in is deliberate then prompt before merging rather than merging silently.,src/lib/redux/store.ts:15 ; src/helpers/auth.ts:656-684 :120 :225 :608 :771 ; src/helpers/updators.ts:110 :135-149,,,,
,CWEB-04,Payments - Callback verification,Razorpay and Paystack declare payment success from a bare client callback and discard the reference the gateway hands them,Two of the four gateways treat the SDK success callback as proof of payment and forward nothing to the panel for verification. Razorpay registers handler: async () => at src/components/PaymentGateway/RazorPay.tsx:205 for the order flow and :149 for the wallet flow - the callback takes no argument so razorpay_payment_id and razorpay_signature which Razorpay passes to that handler are discarded rather than posted for checking. Paystack does the same at src/components/PaymentGateway/Paystack.tsx:140 with onSuccess: () => confirmSuccess() - and the reference and trxref fields it would receive are declared in the response type at :8 and :13 yet never read. Stripe in the same codebase demonstrates the correct shape: it calls stripe.confirmPayment at Stripe.tsx:77-85 and inspects the returned error and paymentIntent at :98-106 before treating the payment as done - so the success signal comes from the gateway API rather than from a fire-and-forget callback. WHAT IS VERIFIED HERE - the two callbacks discard the payment reference and no verification request is issued from the client. WHAT IS NOT VERIFIABLE FROM THIS REPOSITORY - whether the panel verifies the gateway webhook signature server side which is the control that actually settles payment state. The finding is the storefront total dependence on that unconfirmed control plus the loss of the reference that would let it cross-check.,A04 Insecure Design,CWE-345 Insufficient Verification of Data Authenticity,Anyone able to invoke the page callback in their own browser - the practical risk is a customer marking their own order paid in the UI rather than a third party stealing funds,Medium,P2,A checkout reaching the Razorpay or Paystack step.,1. Begin a payment through Razorpay or Paystack. 2. Invoke the registered success handler from the console without completing payment. 3. Observe the client proceeds to its success path having sent no reference to the panel.,The gateway reference is forwarded to the panel and the success state is shown only once the panel confirms the payment - as the Stripe path effectively does by checking the returned paymentIntent.,The client declares success from a callback that carries no proof and discards the identifiers that would allow verification.,If panel webhook verification is missing or delayed the customer sees a paid state the backend has not recorded - and support cannot reconcile because the reference was never captured on this side. It also removes the storefront ability to detect a mismatch between what the gateway says and what the panel recorded.,Capture the payment reference in both handlers and post it to a panel verification endpoint - showing success only on its response - matching the shape the Stripe integration already uses. Separately confirm with the panel team that webhook signatures are verified over the raw body and that events are deduplicated - and record that answer here so the dependency stops being an assumption.,src/components/PaymentGateway/RazorPay.tsx:149 :205 ; Paystack.tsx:8 :13 :140 ; Stripe.tsx:77-106,,,,
,CWEB-05,Wallet - Withdrawal,An unmounted withdrawal component would post a money-out amount that is never checked against the balance,src/components/Modals/WithdrawModal.tsx submits a customer chosen amount to the money-out endpoint - deductBalance at :97-101 posts amount plus description to /user/wallet/deduct-balance. The only bounds applied before that call are parsedAmount <= 0 at :55 and parsedAmount > 1000000 at :63 plus description length and charset rules. The available wallet balance is NEVER consulted - the string balance does not appear anywhere in the file - so the component would happily request a withdrawal of a million units from an account holding ten. NOT CURRENTLY REACHABLE - a search across src finds no render site for WithdrawModal so the component is dead code and there is no UI path to it today. It is recorded because the flaw ships in the repository and would become live the moment anyone mounts it - and because the same hard-coded 1000000 ceiling appears here as in the deposit modal which code review issue 33 already records as market-blind. The endpoint itself remains callable by any authenticated client independently of this component so its real protection has to be panel side.,A04 Insecure Design,CWE-602 Client-Side Enforcement of Server-Side Security,None today - the component is not mounted. If wired up: any authenticated customer,Low,P4,None currently. The scenario applies if WithdrawModal is rendered without adding a balance check.,1. Confirm no render site exists for WithdrawModal. 2. Read the validation block at :54-95 and observe no balance comparison. 3. Mount the component in a scratch build and submit an amount above the account balance to see what the panel does.,A withdrawal is bounded by the available balance on the client for usability and refused by the panel when it exceeds the balance.,No balance bound exists on the client at all and the component is unreachable so the behaviour has never been exercised.,No customer impact today because there is no path to the component. If it is enabled without a balance check the storefront would submit withdrawal requests exceeding available funds - and whether that drains anything depends entirely on panel validation of the deduct-balance endpoint.,Either delete WithdrawModal and the deductBalance caller if withdrawal is not a shipped feature - or add a balance bound sourced from the wallet payload plus the settings-driven limits recommended in code review issue 33 before mounting it. Independently confirm with the panel team that deduct-balance validates the amount against the balance and the caller ownership since the endpoint is callable without this component.,src/components/Modals/WithdrawModal.tsx:54-101 ; src/services/wallet.ts:34-46 ; src/types/params.ts:95-100,,,,
,CWEB-06,Orders - Return evidence upload,The live return flow accepts any file type and any size after the redesign dropped the validation its predecessor had,ReturnSheet at src/views/OrderDetailView/ReturnSheet.tsx is the return request UI actually mounted - src/views/OrderDetailView/index.tsx:681 renders it. Its file handler at :67-68 reads Array.from(e.target.files ?? []) and does setImages(prev => [...prev - ...files].slice(0 - 5)) - so the ONLY constraint applied is a count cap of five. There is no file.type check and no file.size check. The accept="image/*" attribute at :192 is a file picker hint and not validation - a caller can select any file by changing the dialog filter and a scripted submit ignores it entirely. The files are then posted through returnOrderItem which appends them as images[] in a multipart body (src/services/orders.ts:70-117). The component this replaced still exists and shows what the validation used to be: ReturnOrderItemModal enforces a five image cap at :309 - rejects anything failing file.type.startsWith('image/') at :320 - and rejects files above a 5MB MAX_IMAGE_SIZE at :42 and :329. That modal is no longer rendered anywhere in src so the validated path is dead and the unvalidated one is live. This is a regression introduced by the redesign rather than a gap that was always there.,A04 Insecure Design,CWE-434 Unrestricted Upload of File with Dangerous Type,Any authenticated customer with an order item eligible for return,Medium,P2,A signed-in account holding a delivered order item whose return reason requires photo evidence.,1. Open an order detail and start a return for an eligible item. 2. In the file dialog switch the filter to all files and choose a non-image - an SVG or an HTML file - and separately choose a very large file. 3. Submit the return request and observe both are accepted and sent.,Only images within a size ceiling are accepted - matching the five image and 5MB and image mime rules the previous component enforced.,Any file of any size is accepted and uploaded as return evidence.,Storage and bandwidth abuse from oversized uploads on an authenticated endpoint - and if the panel stores and later serves these files inline a non-image such as an SVG becomes a stored injection vector. That compounds code review issue 38 which records that the storefront sanitises no API supplied HTML and code review issue 3 which records that there is no Content-Security-Policy to contain it.,Port the type and size checks from ReturnOrderItemModal into ReturnSheet - reject anything not matching an image mime allowlist and anything above the same 5MB ceiling and surface a message per rejected file. Then delete ReturnOrderItemModal since it is dead. Confirm independently that the panel validates mime and size on write rather than trusting the client.,src/views/OrderDetailView/ReturnSheet.tsx:67-68 :192 ; src/views/OrderDetailView/index.tsx:681 ; src/components/Modals/ReturnOrderItemModal.tsx:42 :309 :320 :329 ; src/services/orders.ts:70-117,,,,
,CWEB-07,Notifications - Redirect handling,The notification list navigates to an unvalidated URL taken straight from the notification payload,getNotificationRedirectUrl at src/helpers/notificationUrl.ts:38-52 reads the first present value among redirect_url and url and link and target_url and target and returns it verbatim as quickLink with no scheme check and no same-origin check. The notifications page then navigates to it with a bare router.push - handleNavigate at src/pages/my-account/notifications/index.tsx:235-240 - so a payload carrying an absolute URL sends the customer to that origin in the SAME TAB carrying the storefront referrer. Every other branch of the helper builds a safe relative path such as /my-account/orders/{slug} - the quickLink shortcut is the only unvalidated one. Two counter-examples exist in the same codebase: safeNext at src/features/auth/safeNext.ts:8-11 validates the auth redirect by requiring a leading slash and rejecting a protocol relative form - and the push notification consumer at src/components/Functional/FirebaseInitializer.tsx:76-80 explicitly tests /^https?:\/\//i and opens an external URL through window.open with noopener and noreferrer instead of navigating in place. The notification list applies neither protection.,A01 Broken Access Control,CWE-601 URL Redirection to Untrusted Site,Anyone able to influence a notification payload - in a multi seller marketplace that includes whoever can trigger seller or promotional notifications through the panel,Medium,P3,A notification whose data carries a redirect_url or url or link or target field pointing off site.,1. Deliver a notification whose payload sets redirect_url to an external origin. 2. Open the notifications screen and click it. 3. Observe a same-tab navigation to that origin.,An external target is either refused or opened deliberately in a new tab with noopener and noreferrer - matching what the push consumer already does.,The customer is navigated off site in place with no interstitial and no indication they have left the storefront.,A phishing path that begins inside an authenticated storefront screen - the customer clicks a notification they trust and lands on an attacker chosen page with the storefront as referrer. Credential prompts on the destination are far more convincing arriving this way.,Validate quickLink before returning it - accept only a relative path as safeNext does - and if outbound notification links are a required feature route them through the same window.open with noopener and noreferrer that FirebaseInitializer already uses rather than router.push.,src/helpers/notificationUrl.ts:38-52 ; src/pages/my-account/notifications/index.tsx:235-240 ; src/features/auth/safeNext.ts:8-11 ; src/components/Functional/FirebaseInitializer.tsx:76-80,,,,
,CWEB-08,Account - Profile image upload,The profile avatar accepts any file of any size and is the second unvalidated upload path in the app,The avatar handler at src/pages/my-account/profile/index.tsx:189 stores whatever the picker returns with if (file) setProfileImageFile(file) - there is no mime check and no size check - and the file is appended to the profile submission at :210. The accept="image/*" attribute at :599 is a picker hint and not validation. This is the same class as CWEB-06 which records the return evidence upload and the two together describe the systemic position: the storefront has three upload paths and only one validates. src/components/Cart/AttachmentUploader.tsx:41-60 does it correctly with a size ceiling and a type allowlist - src/components/Modals/ReturnOrderItemModal.tsx:320 and :329 also did it correctly but that component is dead code - and the two live paths that replaced or bypassed them validate nothing.,A04 Insecure Design,CWE-434 Unrestricted Upload of File with Dangerous Type,Any authenticated customer,Medium,P3,A signed-in account on the profile screen.,1. Open the profile screen and choose the avatar picker. 2. Switch the dialog filter to all files and select a non-image and separately a very large file. 3. Save the profile and observe both are sent.,Only images within a size ceiling are accepted - matching AttachmentUploader which already implements exactly this.,Any file of any size is accepted and submitted as the profile image.,Storage and bandwidth abuse on an authenticated endpoint - and a non-image accepted as an avatar is served back wherever the avatar renders which makes it a candidate injection vector under the same conditions described in CWEB-06.,Apply the AttachmentUploader checks to the avatar picker - an image mime allowlist and a size ceiling with a message per rejected file. Better still extract those checks into one shared validator and route all three upload paths through it so a fourth cannot skip them.,src/pages/my-account/profile/index.tsx:189 :210 :599 ; src/components/Cart/AttachmentUploader.tsx:41-60,,,,
,CWEB-09,Catalog - Image optimizer,The Next image optimizer accepts any https host so anyone can make the server fetch arbitrary URLs,next.config.ts configures images.remotePatterns as a single entry of protocol https with hostname ** which is a wildcard matching every host. The optimizer endpoint takes the target in a query parameter so /_next/image?url=<any https url>&w=64&q=75 makes the storefront server issue a server side request to whatever host the caller names. Tested against a running dev server: an arbitrary external https URL was accepted and the fetch attempted - the response was 403 from this environment egress proxy rather than the 400 that Next returns for a host outside the allowlist - while an http URL to a loopback address returned that 400 so the protocol restriction is the only bound actually in force. images.dangerouslyAllowSVG is also true which means SVG payloads are processed rather than refused - the accompanying contentDispositionType of attachment does mitigate the inline execution half by forcing a download rather than a render.,A10 Server-Side Request Forgery,CWE-918 Server-Side Request Forgery,Any unauthenticated visitor - the optimizer endpoint needs no session,Medium,P3,None - the endpoint is public.,1. Request /_next/image with a url parameter naming an arbitrary external https host plus w and q. 2. Observe the server attempts the fetch rather than rejecting the host. 3. Compare against an http URL which returns the Next 400 for a disallowed target.,Only hosts the storefront actually serves images from are accepted - an explicit allowlist of the panel media domains and any CDN in use.,Every https host on the internet is accepted and fetched by the server.,The storefront server can be induced to make outbound requests to caller chosen hosts which is a server side request forgery primitive - bounded here because only https is allowed and only a successful image decode is returned to the caller. It also works as an open image proxy so a third party can serve their bandwidth through this domain and fill its optimizer cache.,Replace the ** wildcard with an explicit list of the media hosts actually used - the panel domain and any CDN. If a broad allowlist is genuinely required keep dangerouslyAllowSVG off unless SVG is needed and retain contentDispositionType attachment. Both changes are in next.config.ts only.,next.config.ts images.remotePatterns and dangerouslyAllowSVG and contentDispositionType,,,,
,CWEB-10,Markets - Scope control,The active market is set entirely by a client writable cookie that is forwarded verbatim as the highest precedence input to the backend,The market cookie is written by client JavaScript through setCookie which uses document.cookie so it cannot be httpOnly (src/lib/cookies.ts:12-51) and is set that way by resolveMarketForCountry at src/helpers/market.ts:19. On the server render path getMarketFromContext reads it straight from the request cookie header (src/helpers/functionalHelpers.ts:600-610) and passes it as params.market - and the request interceptor turns that into the X-Market header (src/routes/interceptor.ts:40-52). Nothing at any point validates that the value is a real market code or that the customer is entitled to it. CLAUDE.md section 7.4 records the panel DetectMarket precedence as X-Market header first then the ?market= query then the user_market pivot then the cookie - so the value the client controls outranks the account own market. PROVEN BY TEST: a dev server was run against a mock backend that logs headers - a single request for /brands/ carrying a hand written cookie of market=ZZ-ARBITRARY produced exactly two backend calls and BOTH carried X-Market: ZZ-ARBITRARY. ZZ-ARBITRARY is not a real market code and it was forwarded unchanged. WHAT IS NOT VERIFIABLE HERE - whether the panel rejects an unknown code and whether it checks entitlement before pricing in that market.,A01 Broken Access Control,CWE-602 Client-Side Enforcement of Server-Side Security,Any visitor - editing a cookie needs only devtools and no account,Medium,P2,None beyond the ability to set a cookie on the storefront origin.,1. Set the market cookie to an arbitrary value in devtools. 2. Load any catalogue page. 3. Observe on the backend that X-Market carries the supplied value on every request from that page.,The panel validates the market code and the caller entitlement to it - and pricing follows the market the account and the delivery address actually belong to rather than a client assertion.,Any string the client puts in the cookie is forwarded as the top precedence market input.,If the panel prices from the client asserted market without checking entitlement a customer can shop and check out at another market prices - which is direct financial loss through arbitrage. If it merely fails on an unknown code the practical impact is limited to a broken page. The storefront cannot tell which is the case and provides no bound either way.,Confirm with the panel team that DetectMarket rejects unknown codes and validates entitlement before pricing - and that the order placement path re-derives the market from the delivery address rather than trusting the request header. On the storefront side treat the market as server owned: stop writing the cookie from client code and take the active market from the settings response after /markets/switch.,src/lib/cookies.ts:12-51 ; src/helpers/market.ts:19 ; src/helpers/functionalHelpers.ts:600-610 ; src/routes/interceptor.ts:40-52,,,,
